customerid,age,salary,balance,marital,education,job,targeted,default,housing,loan,contact,day,month,duration,campaign,response
122,51,20000,26,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,1.32,1,no
123,34,50000,3,married,unknown,admin.,no,no,yes,no,unknown,5,5,2,3,no
124,43,70000,41,married,secondary,services,yes,no,yes,yes,unknown,5,5,2.12,2,no
125,52,60000,7,married,tertiary,technician,yes,no,no,yes,unknown,5,5,2.92,1,no
126,33,60000,105,single,secondary,technician,yes,no,yes,no,unknown,5,5,4.37,2,no
127,29,50000,818,single,secondary,admin.,yes,no,yes,yes,unknown,5,5,1.02,1,no
128,34,70000,-16,married,secondary,services,yes,no,yes,yes,unknown,5,5,1.3,1,no
129,31,20000,0,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,2.38,1,no
130,55,70000,2476,married,secondary,services,yes,no,yes,no,unknown,5,5,9.65,1,yes
131,55,100000,1185,married,unknown,management,no,no,no,no,unknown,5,5,11.28,1,no
132,32,50000,217,single,secondary,admin.,yes,no,yes,no,unknown,5,5,5.75,1,no
133,38,60000,1685,single,secondary,technician,yes,no,yes,no,unknown,5,5,3.08,1,no
134,55,50000,802,single,secondary,admin.,yes,no,yes,yes,unknown,5,5,1.67,2,no
135,28,8000,0,single,tertiary,unemployed,no,no,yes,no,unknown,5,5,2.08,2,no
136,23,20000,94,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,3.22,1,no
137,32,60000,0,single,secondary,technician,yes,no,yes,no,unknown,5,5,2.27,1,no
138,43,70000,0,single,unknown,services,no,no,no,no,unknown,5,5,1.22,1,no
139,32,20000,517,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,8.8,1,no
140,46,20000,265,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,9.02,1,no
141,53,16000,947,divorced,primary,housemaid,yes,no,yes,no,unknown,5,5,2.72,1,no
142,34,60000,3,single,secondary,self-employed,yes,no,yes,no,unknown,5,5,5.02,1,no
143,57,8000,42,married,tertiary,unemployed,yes,no,no,no,unknown,5,5,0.77,1,no
144,37,20000,37,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,3.4,1,no
145,59,20000,57,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,1.63,1,no
146,33,70000,22,married,secondary,services,yes,no,yes,no,unknown,5,5,1.18,1,no
147,56,20000,8,divorced,primary,blue-collar,yes,no,yes,no,unknown,5,5,2.62,2,no
148,48,8000,293,married,secondary,unemployed,yes,no,yes,no,unknown,5,5,4.05,1,no
149,43,70000,3,married,primary,services,yes,no,yes,no,unknown,5,5,3.1,2,no
150,54,20000,348,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,9.65,2,no
151,51,20000,-19,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,2.72,2,no
152,26,4000,0,single,secondary,student,yes,no,yes,no,unknown,5,5,10.17,2,no
153,40,100000,-4,married,tertiary,management,yes,no,yes,no,unknown,5,5,33.88,1,no
154,39,100000,18,married,secondary,management,yes,no,yes,no,unknown,5,5,1.42,1,no
155,50,60000,139,married,primary,technician,yes,no,no,no,unknown,5,5,1.9,2,no
156,41,70000,0,married,secondary,services,yes,no,yes,no,unknown,5,5,1.9,2,no
157,51,20000,1883,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,0.95,1,no
158,60,55000,216,divorced,secondary,retired,yes,no,yes,no,unknown,5,5,3.97,1,no
159,52,20000,782,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,1.55,3,no
160,48,20000,904,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,2.13,2,no
161,48,70000,1705,married,unknown,services,no,no,yes,no,unknown,5,5,1.78,1,no
163,47,70000,176,single,secondary,services,yes,no,yes,no,unknown,5,5,5.05,2,no
164,40,20000,1225,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,9.3,5,no
165,45,60000,86,married,secondary,technician,yes,no,yes,no,unknown,5,5,4.5,1,no
166,26,50000,82,single,secondary,admin.,yes,no,yes,no,unknown,5,5,3.8,1,no
167,52,100000,271,married,tertiary,management,yes,no,yes,no,unknown,5,5,1.65,1,no
168,54,60000,1378,married,secondary,technician,yes,no,yes,no,unknown,5,5,4,1,no
169,54,50000,184,married,tertiary,admin.,yes,no,no,no,unknown,5,5,11.22,2,yes
170,50,20000,0,married,primary,blue-collar,yes,no,no,no,unknown,5,5,3.88,3,no
171,35,20000,0,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,17.6,1,no
172,44,70000,1357,married,secondary,services,yes,no,yes,yes,unknown,5,5,4.17,1,no
173,53,120000,19,married,unknown,entrepreneur,no,no,yes,no,unknown,5,5,4.2,1,no
174,35,55000,434,single,primary,retired,yes,no,no,no,unknown,5,5,2.3,1,no
175,60,50000,92,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,2.17,1,no
176,53,50000,1151,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,6.87,1,no
177,48,8000,41,married,secondary,unemployed,yes,no,yes,no,unknown,5,5,2.98,2,no
178,34,60000,51,married,secondary,technician,yes,no,yes,no,unknown,5,5,0.32,2,no
179,54,70000,214,married,secondary,services,yes,no,yes,no,unknown,5,5,7.63,2,no
180,51,100000,1161,married,secondary,management,yes,no,yes,no,unknown,5,5,11.95,1,no
181,31,70000,37,married,tertiary,services,yes,no,yes,no,unknown,5,5,5.22,1,no
182,35,60000,787,divorced,secondary,technician,yes,no,yes,no,unknown,5,5,11.38,2,no
183,35,70000,59,married,secondary,services,yes,no,yes,no,unknown,5,5,17.95,1,no
184,38,60000,253,married,secondary,technician,yes,no,yes,no,unknown,5,5,6.93,1,no
185,36,50000,211,married,tertiary,admin.,yes,no,yes,no,unknown,5,5,2.43,2,no
186,58,55000,235,married,primary,retired,yes,no,yes,no,unknown,5,5,2.78,1,no
187,40,70000,4384,divorced,unknown,services,no,no,yes,no,unknown,5,5,5.25,1,no
188,54,100000,4080,married,secondary,management,yes,no,no,no,unknown,5,5,2.33,1,no
189,34,20000,53,single,secondary,blue-collar,yes,no,yes,yes,unknown,5,5,5.77,1,no
191,51,55000,2127,married,secondary,retired,yes,no,yes,no,unknown,5,5,2.87,1,no
192,33,100000,377,married,tertiary,management,yes,no,yes,no,unknown,5,5,3.62,1,no
193,55,100000,73,married,tertiary,management,yes,no,yes,no,unknown,5,5,2.37,2,no
194,42,50000,445,married,secondary,admin.,yes,no,yes,no,unknown,5,5,1.12,1,no
195,34,20000,243,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.85,1,no
196,33,20000,307,single,secondary,blue-collar,yes,no,yes,no,unknown,5,5,5.15,2,no
197,38,70000,155,married,secondary,services,yes,no,yes,no,unknown,5,5,4.13,1,no
198,50,60000,173,divorced,tertiary,technician,no,no,no,yes,unknown,5,5,1.63,1,no
199,43,100000,400,married,tertiary,management,yes,no,yes,no,unknown,5,5,4.27,1,no
200,61,20000,1428,divorced,primary,blue-collar,yes,no,yes,no,unknown,5,5,1.37,2,no
201,47,50000,219,married,secondary,admin.,yes,no,yes,no,unknown,5,5,9.62,1,no
202,48,60000,7,married,tertiary,self-employed,yes,no,yes,no,unknown,5,5,4.77,1,no
203,44,20000,575,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,7.95,1,no
204,35,4000,298,single,unknown,student,no,no,yes,no,unknown,5,5,10.18,2,no
205,35,70000,0,married,secondary,services,yes,no,yes,no,unknown,5,5,7.85,1,no
206,50,70000,5699,married,secondary,services,yes,no,yes,no,unknown,5,5,6.35,2,no
207,41,100000,176,married,tertiary,management,yes,no,yes,yes,unknown,5,5,0.7,1,no
208,41,100000,517,married,tertiary,management,yes,no,yes,no,unknown,5,5,4.18,1,no
209,39,70000,257,single,unknown,services,no,no,yes,no,unknown,5,5,6.8,1,no
210,42,55000,56,married,secondary,retired,yes,no,yes,no,unknown,5,5,3.58,1,no
211,38,20000,-390,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.78,1,no
212,53,55000,330,married,secondary,retired,yes,no,yes,no,unknown,5,5,3.6,2,no
213,59,16000,195,divorced,primary,housemaid,yes,no,no,no,unknown,5,5,6.1,2,no
214,36,70000,301,married,secondary,services,yes,no,yes,no,unknown,5,5,3.5,1,no
215,54,20000,-41,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,4.8,1,no
216,40,60000,483,married,tertiary,technician,yes,no,yes,no,unknown,5,5,2.8,1,no
217,47,0,28,married,unknown,unknown,no,no,no,no,unknown,5,5,5.63,2,no
218,53,8000,13,married,unknown,unemployed,no,no,no,no,unknown,5,5,6.83,3,no
219,46,16000,965,married,primary,housemaid,yes,no,no,no,unknown,5,5,2.95,1,no
220,39,100000,378,married,tertiary,management,yes,no,yes,yes,unknown,5,5,2.12,2,no
221,40,8000,219,married,secondary,unemployed,yes,no,yes,no,unknown,5,5,5.95,1,no
222,28,20000,324,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,2.92,1,no
223,35,120000,-69,divorced,secondary,entrepreneur,yes,no,yes,no,unknown,5,5,5,1,no
224,55,55000,0,married,secondary,retired,yes,no,no,yes,unknown,5,5,2.27,1,no
225,43,60000,205,divorced,unknown,technician,no,no,yes,no,unknown,5,5,23.65,1,no
226,48,20000,278,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,2.08,2,no
227,58,100000,1065,married,unknown,management,no,no,yes,no,unknown,5,5,3.55,3,no
228,33,100000,34,single,tertiary,management,no,no,yes,no,unknown,5,5,0.45,1,no
229,36,20000,1033,married,unknown,blue-collar,no,no,no,no,unknown,5,5,3.97,2,no
230,53,70000,1467,divorced,secondary,services,yes,no,yes,no,unknown,5,5,2.07,1,no
231,47,20000,-12,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,0.3,1,no
232,31,70000,388,married,secondary,services,yes,no,yes,no,unknown,5,5,12.17,2,no
233,57,120000,294,married,secondary,entrepreneur,yes,no,yes,no,unknown,5,5,12.43,2,no
234,53,20000,1827,married,unknown,blue-collar,no,no,no,no,unknown,5,5,2.02,1,no
235,55,20000,627,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,4.12,1,no
236,45,20000,25,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,0.67,1,no
237,53,50000,315,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,3.02,2,no
238,37,20000,0,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,1.32,1,no
239,44,50000,66,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,3.43,1,no
240,49,20000,-9,divorced,primary,blue-collar,yes,no,yes,yes,unknown,5,5,6.48,1,no
241,46,60000,349,married,secondary,technician,yes,no,yes,yes,unknown,5,5,2.12,1,no
242,43,120000,100,married,unknown,entrepreneur,no,no,yes,no,unknown,5,5,11.7,1,no
243,38,50000,0,married,secondary,admin.,yes,no,no,no,unknown,5,5,2.52,1,no
244,43,60000,434,married,secondary,technician,yes,no,yes,no,unknown,5,5,1.95,1,no
245,49,100000,3237,married,tertiary,management,yes,no,yes,no,unknown,5,5,3.87,3,no
246,42,100000,275,married,unknown,management,no,no,no,no,unknown,5,5,6.8,2,no
247,22,20000,0,single,secondary,blue-collar,yes,no,yes,no,unknown,5,5,2.98,2,no
248,40,100000,207,married,tertiary,management,yes,no,yes,no,unknown,5,5,0.65,1,no
249,39,20000,483,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.7,1,no
250,51,70000,2248,married,secondary,services,yes,no,yes,no,unknown,5,5,11.9,2,no
251,49,50000,428,married,secondary,admin.,yes,no,yes,no,unknown,5,5,0.83,1,no
252,53,20000,0,married,secondary,blue-collar,yes,no,yes,yes,unknown,5,5,3.02,1,no
253,34,70000,0,single,secondary,services,yes,no,yes,no,unknown,5,5,2.37,1,no
254,33,60000,140,divorced,secondary,technician,yes,no,yes,no,unknown,5,5,3.78,1,no
255,50,100000,297,single,tertiary,management,no,no,yes,no,unknown,5,5,1.98,1,no
256,39,20000,279,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,6.02,1,no
257,59,120000,901,divorced,secondary,entrepreneur,yes,no,yes,no,unknown,5,5,1.22,3,no
258,30,60000,2573,single,secondary,technician,yes,no,yes,no,unknown,5,5,1.12,2,no
259,36,70000,143,married,secondary,services,yes,no,yes,yes,unknown,5,5,5.83,1,no
260,40,20000,475,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,5.53,2,no
261,53,20000,70,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,10.18,2,no
262,34,100000,318,single,tertiary,management,no,no,yes,no,unknown,5,5,1.88,2,no
263,37,60000,275,married,secondary,technician,yes,no,yes,no,unknown,5,5,2.2,1,no
264,42,100000,742,divorced,tertiary,management,no,no,yes,no,unknown,5,5,0.97,3,no
265,41,120000,236,married,primary,entrepreneur,yes,no,yes,no,unknown,5,5,2.52,1,no
266,30,4000,25,single,tertiary,student,no,no,yes,no,unknown,5,5,1.48,2,no
267,37,100000,600,single,tertiary,management,no,no,yes,no,unknown,5,5,2.53,1,no
268,39,50000,-349,divorced,secondary,admin.,yes,no,yes,no,unknown,5,5,10.18,2,no
269,41,20000,183,married,primary,blue-collar,yes,no,yes,yes,unknown,5,5,1.83,2,no
270,40,20000,0,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,7.72,1,no
271,42,100000,0,single,tertiary,management,no,no,yes,yes,unknown,5,5,9.37,2,yes
272,40,20000,0,divorced,primary,blue-collar,yes,no,yes,no,unknown,5,5,16.03,1,no
273,57,60000,1078,married,secondary,technician,yes,no,yes,no,unknown,5,5,0.17,4,no
274,56,120000,155,divorced,secondary,entrepreneur,yes,no,no,no,unknown,5,5,1.97,3,no
275,37,50000,190,married,secondary,admin.,yes,no,yes,no,unknown,5,5,1.53,2,no
276,59,55000,319,married,secondary,retired,yes,no,yes,no,unknown,5,5,2.38,3,no
277,39,70000,-185,divorced,secondary,services,yes,no,yes,no,unknown,5,5,3.15,3,no
278,49,70000,47,married,secondary,services,yes,no,no,no,unknown,5,5,3.9,2,no
279,38,70000,570,single,secondary,services,yes,no,yes,no,unknown,5,5,1.25,2,no
280,36,60000,19,married,tertiary,self-employed,yes,no,no,no,unknown,5,5,3.15,2,no
281,50,20000,61,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,10.35,3,no
282,41,50000,-62,married,secondary,admin.,yes,no,yes,yes,unknown,5,5,0.92,2,no
283,54,60000,258,married,tertiary,technician,yes,no,no,no,unknown,5,5,5.17,4,no
284,58,20000,76,married,primary,blue-collar,yes,no,yes,no,unknown,5,5,2.6,2,no
285,30,20000,0,single,secondary,blue-collar,yes,no,yes,no,unknown,5,5,0.08,2,no
286,33,50000,352,single,secondary,admin.,yes,no,yes,no,unknown,5,5,3.75,2,no
287,47,50000,368,married,secondary,admin.,yes,no,yes,no,unknown,5,5,2.08,2,no
288,50,60000,339,single,tertiary,technician,no,no,yes,no,unknown,5,5,0.03,3,no
289,32,20000,1331,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,4.77,2,no
290,40,60000,672,married,secondary,self-employed,yes,no,yes,no,unknown,5,5,2.73,2,no
291,37,100000,58,married,tertiary,management,yes,no,yes,no,unknown,5,5,1.63,2,no
292,54,60000,447,single,unknown,technician,no,no,yes,no,unknown,5,5,12.37,2,no
293,24,4000,423,single,secondary,student,yes,no,yes,no,unknown,5,5,3.77,3,no
294,54,100000,0,married,tertiary,management,yes,no,no,no,unknown,5,5,2,2,no
295,34,60000,19,married,secondary,technician,yes,no,yes,no,unknown,5,5,6.03,4,no
296,56,60000,13,divorced,primary,technician,yes,no,yes,no,unknown,5,5,5.95,2,no
297,31,20000,3,single,secondary,blue-collar,yes,no,yes,no,unknown,5,5,3.33,2,no
298,24,4000,82,single,secondary,student,yes,no,yes,no,unknown,5,5,3.4,2,no
299,42,20000,28,divorced,primary,blue-collar,yes,no,yes,no,unknown,5,5,2.1,3,no
300,57,60000,792,married,secondary,technician,yes,no,yes,no,unknown,5,5,1.08,2,no
301,42,20000,408,married,unknown,blue-collar,no,no,yes,no,unknown,5,5,1.78,2,no
302,51,50000,531,married,secondary,admin.,yes,no,yes,no,unknown,5,5,4.45,2,no
303,57,55000,211,married,secondary,retired,yes,no,yes,no,unknown,5,5,4.13,2,no
304,36,70000,62,single,secondary,services,yes,no,yes,no,unknown,5,5,3.58,2,no
305,53,70000,257,married,unknown,services,no,no,yes,no,unknown,5,5,3.48,2,no
306,50,60000,1234,married,secondary,technician,yes,no,yes,no,unknown,5,5,3.42,2,no
307,54,100000,313,married,tertiary,management,yes,no,yes,no,unknown,5,5,1.38,2,no
308,55,20000,89,married,secondary,blue-collar,yes,no,yes,no,unknown,5,5,1.77,3,no
309,44,20000,129,married,secondary,blue-collar,yes,no,yes,yes,unknown,5,5,3.15,2,no
